question,answer,explanation,category
RIPでルーティングループが発生する原因は何ですか？,無限カウントの発生中にリンクダウンが発生した経路宛てのパケットが転送され続けること,ルータが古いルーティング情報に基づいてパケットを転送し続けるため、パケットがネットワーク内で循環します。,ディスタンスベクタルーティング
ディスタンスベクタ型ルーティングプロトコルの問題点を解決する機能は何ですか？,スプリットホライズン、ルートポイズニング、ポイズンリバース、ホールドダウンタイマー、トリガードアップデート,これらの機能は、ルーティング情報の誤った伝播を防ぎ、ネットワークの収束を速めることで、ルーティングループや無限カウントの問題を軽減します。,ディスタンスベクタルーティング
RIPのメトリック値が16の場合、どのような意味を持ちますか？,経路が到達不能であることを示す,メトリック値16は無限大を意味し、その経路は使用できないことを示します。,ディスタンスベクタルーティング
スプリットホライズンとはどのような機能ですか？,あるインターフェースから受信した経路情報を、同じインターフェースから送信しない機能。,スプリットホライズンは、ルーティングループを防ぐために、受信した経路情報を同じインターフェースから送信しないようにする機能です。,ディスタンスベクタルーティング
スプリットホライズンが無効な場合、どのようなルーティングアップデートが行われますか？,受信したインターフェースから、経路情報を通知し返す。,スプリットホライズンが無効な場合、ルータは受信した経路情報を、その受信したインターフェースから再び通知し返してしまいます。これはルーティングループの原因となります。,ディスタンスベクタルーティング
ルートポイズニングとはどのような機能ですか？,リンクダウンしたインターフェースの経路情報のメトリック値を最大値にして隣接ルータに通知する機能。,ルートポイズニングは、リンクダウンを検出したルータが、その経路のメトリック値を最大値（到達不能）にして隣接ルータに通知する機能です。これにより、ルーティングループを防ぎます。,ディスタンスベクタルーティング
ルートポイズニングされた経路情報を受信したルータは、その経路をどのような状態として保持しますか？,possibly down（ダウンしているかもしれない）状態。,ルートポイズニングされた経路情報を受信したルータは、その経路を 'possibly down' 状態として保持し、ルーティングテーブルからすぐに削除しません。これにより、一時的なリンクダウンによる不要なルーティング変更を防ぎます。,ディスタンスベクタルーティング
ポイズンリバースとはどのような機能ですか？,到達不能な経路情報を受信した場合、受信した経路情報のメトリック値を最大値の状態のまま、同じインターフェースから隣接ルータに通知する機能。,ポイズンリバースは、到達不能な経路（メトリック値が最大）の情報を受信した場合に、その情報を同じインターフェースから隣接ルータに通知し返す機能です。スプリットホライズンよりも優先され、ルーティングループを回避するために必須です。,ディスタンスベクタルーティング
ポイズンリバースの動作は、スプリットホライズンよりも優先されますか？,はい,ポイズンリバースは、スプリットホライズンよりも優先されます。つまり、スプリットホライズンが有効であっても、ポイズンリバースの条件が満たされれば、経路情報は通知されます。,ディスタンスベクタルーティング
R2でスプリットホライズンが無効な場合でも、ルートポイズニングによりルーティングループを防ぐことはできますか？,はい,R2でスプリットホライズンが無効でも、R1からルートポイズニングが行われていればR2は 192.168.0.0/24 の経路をホップ数 16 として送信するので、ホップ数16の経路はR1のルーティングテーブルに登録されません。,ディスタンスベクタルーティング
R1がR2にポイズンルートを送信すると、R2は 192.168.0.0/24 のメトリックをいくつで送り返しますか？,16,R1がR2にポイズンルートを送信するとつまり、到達不能な経路情報をR2が受信すると、R2は 192.168.0.0/24 のメトリックを 16 で送り返します。,ディスタンスベクタルーティング
R2でスプリットホライズン機能が有効な場合でも、ポイズンリバースの動作は行われますか？,はい,ポイズンリバースの動作は、スプリットホライズンよりも優先されます。ループを回避するための必須機能です。,ディスタンスベクタルーティング
Ciscoルータの場合、possibly downのマークはどこで確認できますか？,show ip rip database,Ciscoルータの場合、IOSバージョンによりpossibly downのマークはshow ip routeではなくshow ip rip databaseで確認できます。,ディスタンスベクタルーティング
ホールドダウンタイマーとは何ですか？,ある経路情報がダウンした事を示すアップデートを受信した時、その経路情報を誤って再登録しないように、その経路情報がダウンしたことを全てのルータが認識できるようにするための待ち時間のことです。,ホールドダウンタイマーは、ネットワークの安定性を保つために、経路情報がダウンした際にルータがその情報を一時的に保持する仕組みです。,ディスタンスベクタルーティング
ホールドダウンタイマーは、どのような時に作動し始めますか？,ルートポイズニングによる到達不能な経路情報（メトリック 16）を受信した時、または一定時間（180秒）を過ぎても隣接ルータから経路が通知されない時に作動し始めます。,ホールドダウンタイマーは、経路が利用不可能になったことを示す情報を受け取った際、または経路情報が一定時間更新されない場合に開始されます。,ディスタンスベクタルーティング
経路情報が [ possibly down ] となっている時の動作について、3点説明してください。,1点目は、possibly down でも [ 192.168.0.0/24 ] 宛てのパケットは通常通りルーティングされるという事です。2点目は possibly down の状態では隣接ルータから [ 192.168.0.0/24 ] の経路情報を受信しても、以前と同じメトリック値の経路情報か以前よりも大きなメトリック値の経路情報は破棄します。3点目は以前よりも小さいメトリック値の経路情報を受信すれば最適なルートと判断し、ホールドダウンタイマーを停止してルーティングテーブルに登録します。,ルータが経路を「possibly down」とマークしている場合、パケットは通常通りルーティングされますが、経路情報の更新は特定の条件に基づいて処理されます。,ディスタンスベクタルーティング
トリガードアップデートとは何ですか？,定期的なアップデートとは別にネットワーク状態(メトリック値)に変化があるとすぐに送信されるアップデートです。,トリガードアップデートは、ネットワークの状態が変化した際に、迅速にルーティング情報を更新するために送信される特別なアップデートです。,ディスタンスベクタルーティング
トリガードアップデートではルーティングテーブル全体ではなく、どのような情報がアップデートされますか？,変更のあった経路だけをアップデートします。,トリガードアップデートは、ネットワーク全体ではなく、変化があった特定の経路に関する情報のみを送信します。,ディスタンスベクタルーティング
R1が[ 192.168.0.0/24 ] がダウンした事を通知するために行うことは何ですか？,メトリック値を最大16にして経路を通知します（ルートポイズニング）。また、R1はネットワーク状態(メトリック値の状態)に変化があったことから、R1は状態変化のあった[ 192.168.0.0/24 ]の経路だけ即座に隣接ルータに通知します（トリガードアップデート）。,経路がダウンした場合、ルータはルートポイズニングとトリガードアップデートを使用して、ネットワーク全体にその情報を迅速に伝播させます。,ディスタンスベクタルーティング
R2は[ 192.168.0.0/24 16hop ]という経路情報がダウンしたことを示すアップデートを受信するとどうなりますか？,R2のルーティングテーブルで 192.168.0.0/24 の経路をpossibly downとしてホールダウンタイマーを作動します。,ルータが到達不能な経路情報を受信すると、ホールドダウンタイマーを開始し、その経路を一時的に「possibly down」とマークします。,ディスタンスベクタルーティング
R2は[ 192.168.0.0/24 16hop] の到達不能な経路情報を受信すると、どのような動作をしますか？,受信した経路情報のメトリック値を最大値 16 にして、その経路を同じインターフェースから隣接ルータに送り返します（ポイズンリバース）。,ポイズンリバースは、ルータがダウンした経路情報を他のルータに通知し、ルーティングループを防ぐためのメカニズムです。,ディスタンスベクタルーティング
R2は [ 192.168.0.0/24 16hop ] の到達不能な経路情報を受信すると、ネットワーク状態（メトリック値の状態）に変化があったことから、どのような動作をしますか？,状態変化のあった [ 192.168.0.0/24 ] の経路だけ即座に通知します。(トリガードアップデート),トリガードアップデートは、ネットワークの状態が変化した際に、ルーティング情報を迅速に更新するために送信されます。,ディスタンスベクタルーティング
RIPの正常な状態では、どのようなアップデートが行われますか？,30秒ごとの定期的なルーティングアップデートが行われます。,RIP（Routing Information Protocol）では、ルータは30秒ごとにルーティング情報を交換し、ネットワークの状態を維持します。,ディスタンスベクタルーティング
ディスタンスベクタ型ルーティングプロトコル（RIP）には、何種類のタイマーがありますか？,4種類,ディスタンスベクタ型ルーティングプロトコル（RIP）には、Update、Invalid、Hold down、Flushの4種類のタイマーがあります。,ディスタンスベクタルーティング
Updateタイマーは何秒ごとにルーティングアップデートを送信しますか？,30秒,Updateタイマーは30秒ごとにルーティングアップデートを送信します。ルーティングアップデートの送信時に0秒にセットされ、30秒に達すると再度送信されます。,ディスタンスベクタルーティング
Invalidタイマーは、ルーティングアップデートを受信できない状態が何秒続くと、ルートを無効と認識しますか？,180秒,Invalidタイマーは、ルーティングアップデートを受信できない時間が180秒に達すると、受信できなかったルートを無効(Invalid)だと認識します。,ディスタンスベクタルーティング
Hold downタイマーは、どのような場合に起動しますか？,無効タイマーが上限（180秒）に達した時、またはルートポイズニングを受信した時,Hold downタイマーは、無効タイマーが上限（180秒）に達した時か、ルートポイズニングなどの到達不能を示すメトリック値（ホップ数16）の経路情報を受信した時に起動します。,ディスタンスベクタルーティング
Flushタイマーは、ルーティングテーブルから経路情報を削除するまでの時間を何秒に設定しますか？,240秒,Flushタイマーが上限（240秒）に達した時、受信できなかった経路はルーティングテーブルから削除されます。FlushタイマーはInvalidタイマーと同時に起動します。,ディスタンスベクタルーティング
正常に動作している時、Invalidタイマーが上限に達しないのはなぜですか？,定期的にルーティングアップデートを受信するため,正常に動作している時は、定期的に30秒ごとにルーティングアップデートを受信するため、Invalidタイマーが上限（180秒）に達することはありません。,ディスタンスベクタルーティング
ルートポイズニングとは、どのような状態を示すメトリック値ですか？,到達不能,ルートポイズニングは、到達不能を示すメトリック値（ホップ数16）を持つ経路情報のことです。,ディスタンスベクタルーティング
Invalidタイマーが起動してから180秒経過してHold downタイマーが起動した場合、Flushタイマーが先に終了するのはなぜですか？,Flushタイマーの時間がInvalidタイマーとHold downタイマーの合計時間より短いから,Invalidタイマー（180秒）＋ Hold downタイマー(180秒）の合計360秒より、Flushタイマーの240秒の方が早く終了するため、Flushタイマーが先に終了します。,ディスタンスベクタルーティング
Flushタイマーの終了によってHold downタイマーが解除された場合、ルーティングテーブルから削除される経路は何ですか？,192.168.0.0/24,Flushタイマーの終了によってHold downタイマーが解除された場合、ルーティングテーブルから 192.168.0.0/24 が削除されます。,ディスタンスベクタルーティング
ネットワーク機器のメーカーがRIPを実装する際、仕様に影響を与えないレベルで何を行うことが多いですか？,最適化,ネットワーク機器のメーカーは、RIPの仕様にしたがってソフトウェア上にRIPをプログラミングしますが、仕様に影響を与えないレベルで最適化して実装させる場合が多いです。,ディスタンスベクタルーティング
IGPのダイナミックルーティングプロトコルの2つのタイプは何ですか？,ディスタンスベクタ型とリンクステート型,IGPのダイナミックルーティングプロトコルには、ディスタンスベクタ型とリンクステート型の2つのタイプがあります。,ディスタンスベクタルーティング
日本企業ネットワークで最も使用されているリンクステート型ルーティングプロトコルは何ですか？,OSPF,日本企業ネットワークで最も使用されているリンクステート型ルーティングプロトコルはOSPFです。,ディスタンスベクタルーティング
ディスタンスベクタ型プロトコルのRIPの欠点は何ですか？,最大ホップ数が15、VLSM非対応、収束が遅い,RIPは最大ホップ数が15であり拡張性がない点、VLSMに対応していない点、コンバージェンス（収束）が遅い点などから大規模なネットワークには適していません。,ディスタンスベクタルーティング
リンクステート型ルーティングプロトコルでは、ルーティングテーブル作成のために最初に何を行いますか？,Helloパケットを送信し合い、ネイバー関係を確立し、ネイバーテーブルを作成する。,リンクステート型ルーティングプロトコルでは、まずHelloパケットを送信し合い、隣接ルータとネイバー関係を確立し、ネイバーテーブルを作成します。,ディスタンスベクタルーティング
リンクステート型ルーティングプロトコルで、全体のネットワーク構成を知るために収集する情報は？,LSA（Link State Advertisement）,リンクステート型ルーティングプロトコルでは、全体のネットワーク構成を知るために、そのネットワーク上の全てのルータからLSA（Link State Advertisement）を収集します。,ディスタンスベクタルーティング
収集したLSAを格納する場所は？,トポロジテーブル,収集したLSAはトポロジテーブルに格納されます。そして、その情報からトポロジマップが作成されます。,ディスタンスベクタルーティング
トポロジマップからSPFアルゴリズムにより作成されるものは？,SPFツリー,トポロジマップから、SPFアルゴリズムによりSPFツリーと呼ばれるネットワーク構成図が作成されます。,ディスタンスベクタルーティング
SPFツリーから計算されるものは？,最短経路,SPFツリーから最短経路が計算され、最短パスがルーティングテーブルに登録されます。,ディスタンスベクタルーティング
OSPFにおけるトポロジテーブルの別名は何ですか？,LSDB（Link State Database）,OSPFでは、トポロジテーブルはLSDB（Link State Database）とも呼ばれています。,ディスタンスベクタルーティング
リンクステート型ルーティングプロトコルでトポロジに変更があった場合、何で即時にLSAをアドバタイズしますか？,トリガードアップデート,リンクステート型ルーティングプロトコルではトポロジに変更があった場合、トリガードアップデートで即時にLSAをネットワーク内の全てのルータにアドバタイズします。,ディスタンスベクタルーティング
OSPFとは何ですか？,Open Shortest Path Firstの略で、リンクステート型ルーティングプロトコルです。,OSPFは、ネットワーク内のルータ間で経路情報を交換し、最適な経路を決定するために使用されます。,リンクステートルーティング
OSPFにはどのバージョンがありますか？,IPv4対応のOSPFv2とIPv6対応のOSPFv3があります。,OSPFv2は一般的に使用され、OSPFv3はIPv6ネットワークで使用されます。,リンクステートルーティング
OSPFルータはどのようにネイバー関係を確立しますか？,Helloパケットを交換することでネイバー関係を確立します。,Helloパケットはマルチキャスト（224.0.0.5）で送信され、ネイバーを認識するとネイバーテーブルに格納されます。,リンクステートルーティング
LSAとは何ですか？,Link State Advertisementの略で、OSPFルータが持つリンク情報（インターフェース情報）です。,LSAはネイバールータに送信され、ネットワーク全体で通知されます。,リンクステートルーティング
LSDBとは何ですか？,Link State Databaseの略で、OSPFにおけるトポロジテーブルのことです。,LSDBは同じエリア内の全てのルータで同じLSDBを保持します。,リンクステートルーティング
OSPFルータはどのようにしてルーティングテーブルを作成しますか？,SPFアルゴリズム（ダイクストラ）を実行しSPFツリーを作成し、ルーティングテーブルを作成します。,SPFは宛先ネットワークに対する最短パスを計算するアルゴリズムです。,リンクステートルーティング
OSPFにおけるコストとは何ですか？,宛先ネットワークへのパスの距離を表す値で、リンク（インターフェース）の帯域幅を基に自動的に算出されます。,コストは各リンク毎に手動で設定することも可能です。,リンクステートルーティング
10Mbps、100Mbps、1Gbpsのリンクのコスト値はそれぞれいくつですか？,10Mbpsは10、100Mbpsは1、1Gbpsは1です。,コストは帯域幅に基づいて計算されます。,リンクステートルーティング
OSPFで等コストロードバランシングが可能な場合、ルーティングテーブルはどうなりますか？,複数の経路情報がルーティングテーブルに作成されます。,等コストの複数の経路がある場合、OSPFはそれらをルーティングテーブルに追加し、トラフィックを分散します。,リンクステートルーティング
OSPFでは、あるネットワークへの経路が複数存在する場合、どのようにして最適な経路を決定しますか？,SPFアルゴリズム（ダイクストラ）を用いて、宛先ネットワークへのコストが最小となる経路を決定します。,コストはリンクの帯域幅に基づいて算出され、各ルータは自身をルートとしてSPFツリーを作成し、最適な経路を決定します。,リンクステートルーティング
OSPFでネットワークトポロジに変化があった場合、どのようなアップデートが行われますか？,影響があった差分だけをトリガードアップデートします。,OSPFでは、ネットワークのダウンや追加など、トポロジに変化があった場合に、影響を受けた部分のみをトリガードアップデートで通知します。,リンクステートルーティング
R1のF0/0リンクがダウンした場合、R1はまず何をしますか？,LSDBにある自身のLSAを更新します。,リンクダウンを検出したR1は、まず自身のLSDB（Link State Database）にあるLSA（Link State Advertisement）を更新します。,リンクステートルーティング
R1がLSAを更新した後、次に行うことは何ですか？,SPFアルゴリズムによりSPFツリーを更新し、ルーティングテーブルを更新します。,R1は更新したLSAに基づいてSPF（Shortest Path First）アルゴリズムを実行し、SPFツリーを更新してルーティングテーブルを更新します。,リンクステートルーティング
R1がルーティングテーブルを更新した後、どのようにして隣接ルータに情報を伝えますか？,トリガードアップデートにより、隣接ルータへ通知します。,R1は更新したLSAをトリガードアップデートとして、隣接するルータに通知します。これにより、ネットワーク全体のルーティング情報が更新されます。,リンクステートルーティング
R2がR1から更新されたLSAを受信した場合、何を確認しますか？,受信したLSAが新しい情報だと確認できると、LSDBを更新します。,R2は受信したLSAが新しい情報であることを確認した後、自身のLSDBを更新します。これにより、R2も最新のネットワークトポロジ情報を保持します。,リンクステートルーティング
OSPFルータが同じエリア内で最終的に保持するものは何ですか？,同じLSDBが保持されます。,OSPFの一連の処理（SPFツリーの更新、ルーティングテーブルの更新、フラッディング）は、同じエリア内の全てのOSPFルータで行われ、最終的には同じLSDBが保持されます。,リンクステートルーティング
OSPFがマルチベンダーをサポートしている理由は何ですか？,RIP同様にIETF標準化プロトコルのため、異メーカのルータ間でもOSPF通信が可能。,OSPFはIETFによって標準化されたプロトコルであるため、異なるメーカーのルータ間でも互換性があり、OSPF通信が可能です。,リンクステートルーティング
OSPFのメトリックは何を使用しますか？,リンクの帯域幅を基に算出するコストをメトリックとして使用。,OSPFは、リンクの帯域幅に基づいて算出されたコストをメトリックとして使用します。このコストは、ルーティングの最適なパスを決定するために用いられます。,リンクステートルーティング
OSPFはVLSMをサポートしていますか？,はい、通知する経路情報にサブネットマスクを含められるクラスレスルーティングプロトコルです。,OSPFはVLSM（Variable Length Subnet Masking）をサポートしており、通知する経路情報にサブネットマスクを含めることができるクラスレスルーティングプロトコルです。,リンクステートルーティング
OSPFでは、どこで手動経路集約を行えますか？,エリア境界ルータ（ABR）やAS境界ルータ（ASBR）上で、手動で経路集約を行える。,OSPFでは、エリア境界ルータ（ABR）やAS境界ルータ（ASBR）上で、手動で経路集約を行うことができます。これにより、ルーティング情報の効率的な管理が可能です。,リンクステートルーティング
OSPFのエリアとは何ですか？,LSAを交換する範囲を示す論理グループ,OSPFのエリアは、同じLSDBを持つOSPFルータの論理グループであり、LSAのフラッディングを限定的にすることでルータの負荷を軽減します。,リンクステートルーティング
エリア分割によるメリットは何ですか？,LSDBサイズの縮小、SPF計算頻度の減少、ルーティングテーブルのサイズ縮小,エリア分割により、各ルータが保持するLSDBサイズが縮小され、トポロジ変更時のSPF計算頻度が減少し、ルーティングテーブルのサイズを縮小できます。,リンクステートルーティング
OSPFにおける自律システムとは何ですか？,共通のプロトコルを使用して経路情報をやり取りするルータのグループ,OSPFの自律システムとは、共通のプロトコルを使用して経路情報をやりとりするルータのグループのことです。,リンクステートルーティング
OSPFのエリア構成はどのようになっていますか？,エリア0（バックボーンエリア）に他のエリアが隣接する2階層の構成,OSPFのエリアは、エリア0（バックボーンエリア）を中心に、他のエリアが隣接する2階層の構成となります。,リンクステートルーティング
シングルエリア構成とマルチエリア構成の違いは何ですか？,シングルエリアはエリア0のみを使用し、マルチエリアは複数のエリアを使用する,規模が小さいネットワークではシングルエリア構成でも問題ありませんが、大規模ネットワークではルータの負荷軽減のためにマルチエリア構成が推奨されます。,リンクステートルーティング
OSPFのエリアの境界はどこですか？,ルータ,OSPFのエリアの境界はルータであり、ルータの各インターフェースごとに参加するエリアを指定します。,リンクステートルーティング
内部ルータとはどのようなルータですか？,全てのインターフェースを同じエリアに接続しているルータ,内部ルータは、全てのインターフェースを同じエリアに接続しているルータです。,リンクステートルーティング
バックボーンルータとはどのようなルータですか？,1つ以上のインターフェースをバックボーンエリアに接続しているルータ,バックボーンルータは、1つ以上のインターフェースをバックボーンエリアに接続しているルータです。,リンクステートルーティング
ABR（エリア境界ルータ）の役割は何ですか？,異なるエリアを接続し、エリア間のルーティングを行う,ABRは、異なるエリアを接続しているルータで、エリアごとのLSDBを保持し、エリア間のルーティングを行います。,リンクステートルーティング
ASBR（AS境界ルータ）の役割は何ですか？,外部ASのルータと接続し、OSPFネットワークと非OSPFネットワークとの通信を可能にする,ASBRは、1つ以上のインターフェースが外部ASのルータと接続しているルータで、ルート再配送によりOSPFネットワークと非OSPFネットワークとの通信を可能にします。,リンクステートルーティング
OSPFパケットは、IP上のどのプロトコル番号を使用しますか？,89,OSPFパケットはIP上のプロトコル番号89を使用し、IPパケットで直接カプセル化されて送信されます。,リンクステートルーティング
IPv4で使用されるOSPFのバージョン番号は何ですか？,2,IPv4で使用されるOSPFのバージョンは2です。,リンクステートルーティング
OSPFのHelloパケットのタイプは何番ですか？,1,OSPFのHelloパケットはタイプ1です。,リンクステートルーティング
ルータを一意に識別するOSPFヘッダのフィールドは何ですか？,ルータID,ルータIDはルータを一意に識別する32ビットの値です。,リンクステートルーティング
認証なしの場合、OSPFの認証タイプは何の値になりますか？,0,認証なしの場合、OSPFの認証タイプは0になります。,リンクステートルーティング
ネイバーを検出するために使用されるOSPFパケットは何ですか？,Helloパケット,Helloパケットはネイバーを検出するために使用されます。,リンクステートルーティング
自身のLSDBに含まれているLSAのリスト一覧を提供するOSPFパケットは何ですか？,DBD (Database Description) パケット,DBDパケットは、自身のLSDBに含まれているLSAのリスト一覧を提供します。,リンクステートルーティング
自身のLSDBに不足しているLSAを要求するために使用されるOSPFパケットは何ですか？,LSR (Link State Request) パケット,LSRパケットは、自身のLSDBに不足しているLSAを要求するために使用されます。,リンクステートルーティング
LSRにより要求されたLSAを送信するために使用されるOSPFパケットは何ですか？,LSU (Link State Update) パケット,LSUパケットは、LSRにより要求されたLSAを送信するために使用されます。,リンクステートルーティング
LSUを受信したことを通知するための確認応答として送信されるOSPFパケットは何ですか？,LSAck (Link State Acknowledgement) パケット,LSAckパケットは、LSUを受信したことを通知するための確認応答として送信されます。,リンクステートルーティング
OSPFルータがネイバー関係を確立する最初の状態は何ですか？,Down State,停止状態。OSPFルータを起動した直後の状態。リンクアップするとHelloパケットの送信を開始します。,リンクステートルーティング
Helloパケットはどのアドレス宛に送信されますか？,マルチキャストアドレス (224.0.0.5),Helloパケットは、隣接ルータに到達するためにマルチキャストアドレス (224.0.0.5) 宛てに送信されます。,リンクステートルーティング
Init Stateとはどのような状態ですか？,ネイバールータからHelloパケットをはじめて受信した状態,ネイバールータ（R1）から Helloパケットをはじめて受信した状態。このHelloパケットを受信すると、R2ではネイバールータにR1を追加します。,リンクステートルーティング
2Way Stateとはどのような状態ですか？,ネイバールータの存在を認識したOSPFルータがHelloパケットを送信し、そのHelloパケットをネイバールータが受信した状態,ネイバールータ（R1）の存在を認識したOSPFルータがHelloパケットを送信して、そのHelloパケットをネイバールータ（R1）が受信した状態。R1ではネイバールータにR2を追加します。,リンクステートルーティング
OSPFルータを識別するために割り当てられるものは何ですか？,ルータID,OSPFルータには、識別のためにルータIDが割り当てられます。ルータIDは32ビットの値でIPアドレスと同様4オクテットで区切り10進数で表記します。,リンクステートルーティング
ルータIDの決定優先順位の1番目は何ですか？,router-id コマンドで設定した値,ルータIDは、① router-id コマンドで設定した値、② ループバックインターフェースの中で最も大きいIPアドレス、③ アクティブなインターフェースの中で最も大きいIPアドレスの優先順位で決定されます。,リンクステートルーティング
OSPFルータがアジャセンシー関係に至る前にどのような状態になる必要がありますか？,2Way State,OSPFルータは2Way State状態になりDR/BDRの選出が完了すると、アジャセンシー関係（Adjacency）に至るルータ間では、LSAを交換してLSDBを同期するフローに移行します。,リンクステートルーティング
Exstart Stateでは何が行われますか？,LSAに関するデータの送信をどちらのルータから開始するかを決定する,起動後状態。どちらのルータからLSAに関するデータの送信を開始するかを決定するプロセス。ルータIDが大きいルータから送信を開始し、送信開始側をマスター、もう一方をスレーブと呼びます。,リンクステートルーティング
Exchange Stateではどのようなパケットが交換されますか？,DBD（LSDBに格納されるLSAリスト）パケット,交換状態。マスターからDBD（LSDBに格納されるLSAリスト）パケットを送信し相手からも送信します。,リンクステートルーティング
Loading Stateでは何が行われますか？,受信したDBDと自身のLSDBを比較し、不足分のLSAについてはLSRで情報を要求する,ロード状態。受信したDBDと自身のLSDBを比較し、不足分のLSAについてはLSRで情報を要求します。,リンクステートルーティング
OSPFにおいて、マルチアクセスネットワークで選出される代表ルータは何と呼ばれますか？,DR (Designated Router),OSPFでは、イーサネットのようなマルチアクセスネットワークでDRと呼ばれる代表ルータが選出されます。,リンクステートルーティング
OSPFにおいて、DRのバックアップとなるルータは何と呼ばれますか？,BDR (Backup Designated Router),OSPFでは、DRのバックアップとしてBDRと呼ばれるバックアップ代表ルータが選出されます。,リンクステートルーティング
DR、BDRに選出されなかったOSPFルータは何と呼ばれますか？,DROTHER,DR、BDRに選出されなかったOSPFルータはDROTHERと呼ばれます。,リンクステートルーティング
DRとBDRの選出に使用される主な要素は何ですか？,OSPFプライオリティ値,DRとBDRの選出にはOSPFプライオリティ値が使用されます。値が同じ場合はルータIDが使用されます。,リンクステートルーティング
OSPFプライオリティ値がデフォルトの値はいくつですか？,1,OSPFプライオリティ値はデフォルトで1です。0に設定されたルータは必ずDROTHERになります。,リンクステートルーティング
DRとBDRは、ネットワーク全体で1つずつ選出されますか？,いいえ、セグメントごとに選出されます。,DRとBDRはセグメントごとに選出されます。OSPFプライオリティ値はインターフェースごとに設定されるため、ルータはセグメントによって役割が変わることがあります。,リンクステートルーティング
R1がネットワークのダウンを検知した際に、LSUを送信する宛先はどこですか？,セグメント1のDR/BDR,R1は、ネットワークダウンを検知すると、更新されたLSAを含むLSUをセグメント1のDR/BDRへマルチキャスト（224.0.0.6）で送信します。,リンクステートルーティング
DRがLSUを受信した後、セグメント1の全OSPFルータへLSUを送信する際に使用するマルチキャストアドレスは何ですか？,224.0.0.5,DRは、LSUを受信後、セグメント1の全OSPFルータへマルチキャストアドレス224.0.0.5を使用してLSUを送信します。,リンクステートルーティング
OSPFルータ間の関係で、LSAを交換し合うルータ同士の関係を何と言いますか？,Adjacency（アジャセンシー）,LSAを交換し合うOSPFルータ同士の関係をAdjacency（アジャセンシー）と呼びます。ステータスはFullです。,リンクステートルーティング
OSPFルータ間の関係で、ただネイバー接続しているOSPFルータ同士の関係を何と言いますか？,Neighbor（ネイバー）,ただネイバー接続しているOSPFルータ同士の関係をNeighbor（ネイバー）と呼びます。ステータスは2Wayです。,リンクステートルーティング
OSPFのLSAタイプはいくつ存在しますか？,1〜11,Ciscoルータでサポートされているのは1〜5と7です。,リンクステートルーティング
LSAタイプ1はどの範囲でフラッディングされますか？,エリア内,LSAタイプ1は、自身のエリア内でのみフラッディングされます。,リンクステートルーティング
LSAタイプ1にはどのような情報が含まれていますか？,OSPFルータID、リンクの数、各リンクの詳細情報,LSAタイプ1には、OSPFルータID、リンクの数、各リンクの詳細情報（IPアドレス、コスト値等）が含まれています。,リンクステートルーティング
LSAタイプ1の経路情報はルーティングテーブルでどのように表示されますか？,O,ルーティングテーブルでは、LSAタイプ1の経路情報は「O」のコードが付けられています。,リンクステートルーティング
LSAタイプ1のLSAを確認するコマンドは何ですか？,show ip ospf database router,LSAタイプ1のLSAは、show ip ospf database routerコマンドで確認できます。,リンクステートルーティング
LSAタイプ2は誰が生成しますか？,DR,LSAタイプ2はDR（Designated Router）が生成します。,リンクステートルーティング
LSAタイプ2にはどのような情報が含まれていますか？,DRのIPアドレス、セグメントのサブネットマスク情報、セグメント上のルータIDの一覧,LSAタイプ2には、DRのIPアドレス、セグメントのサブネットマスク情報、セグメント上のルータIDの一覧などが含まれています。,リンクステートルーティング
LSAタイプ2のLSAを確認するコマンドは何ですか？,show ip ospf database network,LSAタイプ2のLSAは、show ip ospf database networkコマンドで確認できます。,リンクステートルーティング
LSAタイプ3はどこへフラッディングされますか？,異なるエリア,LSAタイプ3は、異なるエリアへフラッディングされます。,リンクステートルーティング
LSAタイプ3は誰が生成しますか？,ABR,LSAタイプ3はABR（Area Border Router）が生成します。,リンクステートルーティング
LSAタイプ3にはどのような情報が含まれていますか？,各エリアの経路情報やコスト情報,LSAタイプ3には、各エリアの経路情報やコスト情報が含まれています。,リンクステートルーティング
LSAタイプ3の経路情報はルーティングテーブルでどのように表示されますか？,O IA,ルーティングテーブルで、LSAタイプ3の経路情報はエリア間ルートを示す「O IA」のコードが付けられています。,リンクステートルーティング
LSAタイプ3のLSAを確認するコマンドは何ですか？,show ip ospf database summary,LSAタイプ3のLSAは、show ip ospf database summaryコマンドで確認できます。,リンクステートルーティング
LSAタイプ1はどのルータが生成しますか？,全てのOSPFルータ,LSAタイプ1は全てのOSPFルータが生成します。,リンクステートルーティング
OSPFのLSDB（リンクステートデータベース）を作成する上で基礎的な要素は何ですか？,LSA,LSAは、OSPFルータのLSDB（リンクステートデータベース）を作成する上で基礎的な要素となります。,リンクステートルーティング
LSAタイプ4を生成するのはどのルータか？,ABR（エリア境界ルータ）,LSAタイプ4は、異なるエリアへフラッディングされ、ABRが生成します。ASBRへの到達メトリック値を含みます。,リンクステートルーティング
LSAタイプ4には何の情報が含まれているか？,ASBRのルータIDとASBRに到達するまでのメトリック値,LSAタイプ4は、ASBRのルータIDとASBRに到達するまでのメトリック値を含み、ASBRへの経路を通知します。,リンクステートルーティング
